outcome,exposure,gene,num_snps,samplesize.exposure,cumulative_R2,mean_F,median_F,mean_maf,mean_beta,overall_F
MGI-BioVU,LDL-C,HMGCR,11,440546,0.003711256579177778,154.05522915769595,45.46167149380032,0.14871963636363636,0.01515339090909091,149.18408823364788
UKB-Barton,LDL-C,HMGCR,7,440546,0.0032823492465112922,215.62237763599776,66.20835243976549,0.16045085714285715,0.02416952857142857,207.25163974349195
MGI-BioVU,LDL-C,NPC1L1,1,440546,3.795116369115021e-4,176.8962597687209,176.8962597687209,0.184007,0.0355498,167.25504980927562
UKB-Barton,LDL-C,NPC1L1,1,440546,3.795116369115021e-4,176.8962597687209,176.8962597687209,0.184007,0.0355498,167.25504980927562
UKB-Barton,LDL-C,PCSK9,1,440546,0.004167885471903909,1930.4259030837932,1930.4259030837932,0.017468,-0.348456,1843.821775324591
MGI-BioVU,Total cholesterol,HMGCR,11,1320016,0.003160556844143318,136.32463481710448,57.561260342738564,0.13523066363636366,0.0042761909090909085,380.4704691358177
UKB-Barton,Total cholesterol,HMGCR,26,1320016,0.0075906375058495635,138.25657094009262,61.39395595740541,0.14290256153846154,0.02316715769230769,388.3151755319782
MGI-BioVU,Total cholesterol,NPC1L1,1,1320016,3.2821661266354716e-4,156.81122152507473,156.81122152507473,0.183715,0.0330805,433.3927704555314
UKB-Barton,Total cholesterol,NPC1L1,1,1320016,3.2821661266354716e-4,156.81122152507473,156.81122152507473,0.183715,0.0330805,433.3927704555314
UKB-Barton,Total cholesterol,PCSK9,3,1320016,0.004802444651205567,731.4797662397463,344.7514931126593,0.13995713333333332,-0.11851260000000001,2123.2918478868874
