Phenotype ID:,BXD_12951
Phenotype URL: ,http://genenetwork.org/show_trait?trait_id=12951&dataset=BXDPublish
Group: ,BXD
Phenotype: ,"Blood chemistry"","" metabolism: Cholesterol (total) in serum of 14-week old males [mM]"
Authors: ,"Andreux P, Williams EG, Koutnikova H, Houtkooper RH, Champy MF, Henry H, Schoonjans K, Williams RW, Auwerx J"
Title: ,Systems genetics of metabolism: the use of the BXD murine reference panel for multiscalar integration of traits
Journal: ,Cell
Dataset Link: ,http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish
Export Date: ,"December 01, 2022"
Export Time: ,14:54 GMT
Index,Name,Value,SE,N,Status,RRID,Epoch,SeqCvge
1,C57BL/6J,2.452,0.092,25,Live,JAX:000664,,69.14
2,BXD1,3.305,0.094,4,Live,JAX:000036,1,36.03
3,BXD6,2.095,0.077,4,Live,JAX:000007,1,32.01
4,BXD8,1.908,0.078,4,Live,JAX:000084,1,36.63
5,BXD11,2.343,0.167,3,Live,JAX:000012,1,42.34
6,BXD16,2.293,0.127,4,Live,JAX:000013,1,37.36
7,BXD18,2.083,0.131,4,Live,JAX:000015,1,35.24
8,BXD20,2.508,0.1,4,Live,JAX:000330,1,43.21
9,BXD28,2.72,0.218,3,Live,JAX:000047,1,35.03
10,BXD31,3.158,0.11,4,Live,JAX:000083,1b,40.03
11,BXD34,2.073,0.112,4,Live,JAX:003223,2,40.19
12,BXD42,2.815,0.226,4,Live,JAX:003230,2,38.17
13,BXD43,1.91,,1,Live,JAX:007093,3a,39.54
14,BXD44,2.467,0.041,3,Live,JAX:007094,3a,38.66
15,BXD45,2.675,0.125,2,Live,JAX:007096,3a,33.75
16,BXD48,3.115,0.098,4,Live,JAX:007097,3a,38.19
17,BXD48a,2.43,0.34,2,Live,JAX:007139,3a,40.47
18,BXD55,2.805,0.075,2,Live,JAX:007103,3a,39.65
19,BXD56,2.498,0.222,4,Live,JAX:007104,3a,40.37
20,BXD61,2.45,0.08,2,Live,JAX:007106,3b,39.94
21,BXD62,3.59,0.276,4,Live,JAX:007107,3b,41.19
22,BXD65,3.075,0.155,2,Live,JAX:007110,3b,39.08
23,BXD65a,3.973,0.032,4,Live,JAX:007140,3b,39.25
24,BXD65b,2.245,0.065,2,Live,JAX:009677,3b,37.21
25,BXD66,2.505,0.175,2,Live,JAX:007111,3b,33.40
26,BXD68,2.745,0.158,4,Live,JAX:007113,3b,36.51
27,BXD69,2.53,0.1,2,Live,JAX:007114,3b,38.88
28,BXD71,2.385,0.065,2,Live,JAX:007116,3b,41.12
29,BXD73,2.24,0.23,2,Live,JAX:007117,3b,33.43
30,BXD73a,2.788,0.149,4,Live,JAX:007124,3b,35.86
31,BXD73b,2.26,0.37,2,Live,JAX:007146,3b,
32,BXD75,2.505,0.155,2,Live,JAX:007119,3b,39.44
33,BXD81,3.305,0.005,2,Live,JAX:007125,3b,33.74
34,BXD83,2.88,0.14,2,Live,JAX:007126,3b,37.79
35,BXD84,2.29,0,2,Live,JAX:007127,3b,41.48
36,BXD86,2.75,0.25,2,Live,JAX:007129,3b,41.77
37,BXD87,2.843,0.069,4,Live,JAX:007130,3b,39.90
38,BXD89,2.23,0.087,4,Live,JAX:007132,3b,41.79
39,BXD90,3.41,,1,Live,JAX:007133,3b,38.19
40,BXD95,2.345,0.152,4,Live,JAX:007138,3b,32.16
41,BXD98,2.053,0.034,3,Live,JAX:007141,3b,37.73
42,BXD100,2.695,0.065,2,Live,JAX:007143,3b,40.05
43,BXD101,2.7,0.01,2,Live,JAX:007144,3b,
